지점,지점명,일시,실효습도
90,속초,2012-03-20 00:00,58.52
90,속초,2012-03-20 01:00,59.12
90,속초,2012-03-20 02:00,58.93
90,속초,2012-03-20 03:00,59.81
90,속초,2012-03-20 04:00,60.23
90,속초,2012-03-20 05:00,61.89
90,속초,2012-03-20 06:00,61.68
90,속초,2012-03-20 07:00,60.89
90,속초,2012-03-20 08:00,57.63
90,속초,2012-03-20 09:00,56.46
90,속초,2012-03-20 10:00,52.67
90,속초,2012-03-20 11:00,52.36
90,속초,2012-03-20 12:00,53.07
90,속초,2012-03-20 13:00,51.04
90,속초,2012-03-20 14:00,51.51
90,속초,2012-03-20 15:00,51.45
90,속초,2012-03-20 16:00,51.62
90,속초,2012-03-20 17:00,52.72
90,속초,2012-03-20 18:00,49.31
90,속초,2012-03-20 19:00,52.64
90,속초,2012-03-20 20:00,52.77
90,속초,2012-03-20 21:00,54.78
90,속초,2012-03-20 22:00,44.26
90,속초,2012-03-20 23:00,44.39
95,철원,2012-03-20 00:00,55.83
95,철원,2012-03-20 01:00,58.47
95,철원,2012-03-20 02:00,61.01
95,철원,2012-03-20 03:00,63.76
95,철원,2012-03-20 04:00,65.02
95,철원,2012-03-20 05:00,67.93
95,철원,2012-03-20 06:00,70.30
95,철원,2012-03-20 07:00,71.17
95,철원,2012-03-20 08:00,65.98
95,철원,2012-03-20 09:00,55.93
95,철원,2012-03-20 10:00,46.25
95,철원,2012-03-20 11:00,37.18
95,철원,2012-03-20 12:00,34.59
95,철원,2012-03-20 13:00,31.37
95,철원,2012-03-20 14:00,28.83
95,철원,2012-03-20 15:00,24.97
95,철원,2012-03-20 16:00,25.15
95,철원,2012-03-20 17:00,25.81
95,철원,2012-03-20 18:00,25.68
95,철원,2012-03-20 19:00,28.76
95,철원,2012-03-20 20:00,34.17
95,철원,2012-03-20 21:00,37.91
95,철원,2012-03-20 22:00,41.37
95,철원,2012-03-20 23:00,49.18
98,동두천,2012-03-20 00:00,49.88
98,동두천,2012-03-20 01:00,50.55
98,동두천,2012-03-20 02:00,52.10
98,동두천,2012-03-20 03:00,55.92
98,동두천,2012-03-20 04:00,58.00
98,동두천,2012-03-20 05:00,59.02
98,동두천,2012-03-20 06:00,61.29
98,동두천,2012-03-20 07:00,63.76
98,동두천,2012-03-20 08:00,60.58
98,동두천,2012-03-20 09:00,54.04
98,동두천,2012-03-20 10:00,45.44
98,동두천,2012-03-20 11:00,35.16
98,동두천,2012-03-20 12:00,33.32
98,동두천,2012-03-20 13:00,28.81
98,동두천,2012-03-20 14:00,25.14
98,동두천,2012-03-20 15:00,24.10
98,동두천,2012-03-20 16:00,23.55
98,동두천,2012-03-20 17:00,26.18
98,동두천,2012-03-20 18:00,31.46
98,동두천,2012-03-20 19:00,27.40
98,동두천,2012-03-20 20:00,33.50
98,동두천,2012-03-20 21:00,37.25
98,동두천,2012-03-20 22:00,40.39
98,동두천,2012-03-20 23:00,41.82
99,파주,2012-03-20 00:00,60.03
99,파주,2012-03-20 07:00,73.30
99,파주,2012-03-20 08:00,67.43
99,파주,2012-03-20 09:00,57.57
99,파주,2012-03-20 10:00,47.00
99,파주,2012-03-20 11:00,38.93
99,파주,2012-03-20 12:00,34.90
99,파주,2012-03-20 13:00,32.51
99,파주,2012-03-20 14:00,28.64
99,파주,2012-03-20 15:00,26.17
99,파주,2012-03-20 16:00,27.24
99,파주,2012-03-20 17:00,23.80
99,파주,2012-03-20 18:00,25.45
99,파주,2012-03-20 19:00,30.35
99,파주,2012-03-20 20:00,36.61
99,파주,2012-03-20 21:00,41.25
99,파주,2012-03-20 22:00,42.16
99,파주,2012-03-20 23:00,44.59
100,대관령,2012-03-20 00:00,58.89
100,대관령,2012-03-20 01:00,60.01
100,대관령,2012-03-20 02:00,61.44
100,대관령,2012-03-20 03:00,65.32
100,대관령,2012-03-20 04:00,67.22
100,대관령,2012-03-20 05:00,69.81
100,대관령,2012-03-20 06:00,69.76
100,대관령,2012-03-20 07:00,69.97
100,대관령,2012-03-20 08:00,65.91
100,대관령,2012-03-20 09:00,59.74
100,대관령,2012-03-20 10:00,55.66
100,대관령,2012-03-20 11:00,51.90
100,대관령,2012-03-20 12:00,47.55
100,대관령,2012-03-20 13:00,43.43
100,대관령,2012-03-20 14:00,43.25
100,대관령,2012-03-20 15:00,42.21
100,대관령,2012-03-20 16:00,43.88
100,대관령,2012-03-20 17:00,43.21
100,대관령,2012-03-20 18:00,45.62
100,대관령,2012-03-20 19:00,46.30
100,대관령,2012-03-20 20:00,49.05
100,대관령,2012-03-20 21:00,52.19
100,대관령,2012-03-20 22:00,53.04
100,대관령,2012-03-20 23:00,51.69
101,춘천,2012-03-20 00:00,61.06
101,춘천,2012-03-20 01:00,67.20
101,춘천,2012-03-20 02:00,66.10
101,춘천,2012-03-20 03:00,68.37
101,춘천,2012-03-20 04:00,69.75
101,춘천,2012-03-20 05:00,69.59
101,춘천,2012-03-20 06:00,70.52
101,춘천,2012-03-20 07:00,70.21
101,춘천,2012-03-20 08:00,65.16
101,춘천,2012-03-20 09:00,55.26
101,춘천,2012-03-20 10:00,47.98
101,춘천,2012-03-20 11:00,40.44
101,춘천,2012-03-20 12:00,34.13
101,춘천,2012-03-20 13:00,27.88
101,춘천,2012-03-20 14:00,26.49
101,춘천,2012-03-20 15:00,23.28
101,춘천,2012-03-20 16:00,25.16
101,춘천,2012-03-20 17:00,26.84
101,춘천,2012-03-20 18:00,28.90
101,춘천,2012-03-20 19:00,33.91
101,춘천,2012-03-20 20:00,34.88
101,춘천,2012-03-20 21:00,40.36
101,춘천,2012-03-20 22:00,48.01
101,춘천,2012-03-20 23:00,52.77
102,백령도,2012-03-20 00:00,56.43
102,백령도,2012-03-20 01:00,58.17
102,백령도,2012-03-20 02:00,61.20
102,백령도,2012-03-20 03:00,60.27
102,백령도,2012-03-20 04:00,62.36
102,백령도,2012-03-20 05:00,60.97
102,백령도,2012-03-20 06:00,59.82
102,백령도,2012-03-20 07:00,59.32
102,백령도,2012-03-20 08:00,57.15
102,백령도,2012-03-20 09:00,57.07
102,백령도,2012-03-20 10:00,56.03
102,백령도,2012-03-20 11:00,52.68
102,백령도,2012-03-20 12:00,49.68
102,백령도,2012-03-20 13:00,47.46
102,백령도,2012-03-20 14:00,45.24
102,백령도,2012-03-20 15:00,42.47
102,백령도,2012-03-20 16:00,41.47
102,백령도,2012-03-20 17:00,42.66
