지점,지점명,일시,실효습도
90,속초,2012-01-01 00:00,47.44
90,속초,2012-01-01 01:00,45.95
90,속초,2012-01-01 02:00,44.15
90,속초,2012-01-01 03:00,43.85
90,속초,2012-01-01 04:00,45.00
90,속초,2012-01-01 05:00,43.54
90,속초,2012-01-01 06:00,41.74
90,속초,2012-01-01 07:00,41.83
90,속초,2012-01-01 08:00,41.46
90,속초,2012-01-01 09:00,37.13
90,속초,2012-01-01 10:00,30.91
90,속초,2012-01-01 11:00,28.72
90,속초,2012-01-01 12:00,30.02
90,속초,2012-01-01 13:00,31.52
90,속초,2012-01-01 14:00,35.46
90,속초,2012-01-01 15:00,37.15
90,속초,2012-01-01 16:00,40.54
90,속초,2012-01-01 17:00,44.41
90,속초,2012-01-01 18:00,46.22
90,속초,2012-01-01 19:00,49.56
90,속초,2012-01-01 20:00,46.14
90,속초,2012-01-01 21:00,47.36
90,속초,2012-01-01 22:00,46.94
90,속초,2012-01-01 23:00,46.54
105,강릉,2012-01-01 00:00,49.58
105,강릉,2012-01-01 01:00,49.29
105,강릉,2012-01-01 02:00,46.57
105,강릉,2012-01-01 03:00,47.50
105,강릉,2012-01-01 04:00,45.66
105,강릉,2012-01-01 05:00,47.47
105,강릉,2012-01-01 06:00,45.50
105,강릉,2012-01-01 07:00,44.34
105,강릉,2012-01-01 08:00,42.89
105,강릉,2012-01-01 09:00,39.13
105,강릉,2012-01-01 10:00,32.79
105,강릉,2012-01-01 11:00,28.00
105,강릉,2012-01-01 12:00,29.33
105,강릉,2012-01-01 13:00,29.95
105,강릉,2012-01-01 14:00,33.17
105,강릉,2012-01-01 15:00,36.95
105,강릉,2012-01-01 16:00,34.83
105,강릉,2012-01-01 17:00,38.96
105,강릉,2012-01-01 18:00,42.44
105,강릉,2012-01-01 19:00,47.26
105,강릉,2012-01-01 20:00,49.14
105,강릉,2012-01-01 21:00,50.62
105,강릉,2012-01-01 22:00,49.01
105,강릉,2012-01-01 23:00,50.46
106,동해,2012-01-01 00:00,49.69
106,동해,2012-01-01 01:00,47.34
106,동해,2012-01-01 02:00,47.35
106,동해,2012-01-01 03:00,46.20
106,동해,2012-01-01 04:00,45.77
106,동해,2012-01-01 05:00,44.05
106,동해,2012-01-01 06:00,44.93
106,동해,2012-01-01 07:00,44.26
106,동해,2012-01-01 08:00,46.42
106,동해,2012-01-01 09:00,41.01
106,동해,2012-01-01 10:00,36.67
106,동해,2012-01-01 11:00,30.59
106,동해,2012-01-01 12:00,29.59
106,동해,2012-01-01 13:00,32.74
106,동해,2012-01-01 14:00,32.54
106,동해,2012-01-01 15:00,32.78
106,동해,2012-01-01 16:00,34.51
106,동해,2012-01-01 17:00,36.06
106,동해,2012-01-01 18:00,41.84
106,동해,2012-01-01 19:00,45.40
106,동해,2012-01-01 20:00,48.16
106,동해,2012-01-01 21:00,50.71
106,동해,2012-01-01 22:00,49.03
106,동해,2012-01-01 23:00,51.62
216,태백,2012-01-01 00:00,58.65
216,태백,2012-01-01 01:00,59.68
216,태백,2012-01-01 02:00,60.30
216,태백,2012-01-01 03:00,61.27
216,태백,2012-01-01 04:00,59.63
216,태백,2012-01-01 05:00,60.14
216,태백,2012-01-01 06:00,58.96
216,태백,2012-01-01 07:00,59.14
216,태백,2012-01-01 08:00,58.93
216,태백,2012-01-01 09:00,57.15
216,태백,2012-01-01 10:00,47.97
216,태백,2012-01-01 11:00,33.31
216,태백,2012-01-01 12:00,32.10
216,태백,2012-01-01 13:00,29.66
216,태백,2012-01-01 14:00,28.51
216,태백,2012-01-01 15:00,35.22
216,태백,2012-01-01 16:00,36.68
216,태백,2012-01-01 17:00,45.43
216,태백,2012-01-01 18:00,55.24
216,태백,2012-01-01 19:00,57.95
216,태백,2012-01-01 20:00,57.43
216,태백,2012-01-01 21:00,58.41
216,태백,2012-01-01 22:00,57.67
216,태백,2012-01-01 23:00,56.62
90,속초,2012-01-02 00:00,48.99
90,속초,2012-01-02 01:00,47.20
90,속초,2012-01-02 02:00,45.53
90,속초,2012-01-02 03:00,44.72
90,속초,2012-01-02 04:00,45.73
90,속초,2012-01-02 05:00,45.35
90,속초,2012-01-02 06:00,44.10
90,속초,2012-01-02 07:00,43.71
90,속초,2012-01-02 08:00,43.20
90,속초,2012-01-02 09:00,40.27
90,속초,2012-01-02 10:00,33.47
90,속초,2012-01-02 11:00,30.64
90,속초,2012-01-02 12:00,31.20
90,속초,2012-01-02 13:00,33.15
90,속초,2012-01-02 14:00,36.21
90,속초,2012-01-02 15:00,38.59
90,속초,2012-01-02 16:00,43.21
90,속초,2012-01-02 17:00,47.36
90,속초,2012-01-02 18:00,45.18
90,속초,2012-01-02 19:00,47.12
90,속초,2012-01-02 20:00,44.68
90,속초,2012-01-02 21:00,45.18
90,속초,2012-01-02 22:00,44.64
90,속초,2012-01-02 23:00,43.81
105,강릉,2012-01-02 00:00,57.94
105,강릉,2012-01-02 01:00,58.83
105,강릉,2012-01-02 02:00,54.78
105,강릉,2012-01-02 03:00,53.93
105,강릉,2012-01-02 04:00,51.14
105,강릉,2012-01-02 05:00,51.46
105,강릉,2012-01-02 06:00,49.13
105,강릉,2012-01-02 07:00,47.42
105,강릉,2012-01-02 08:00,45.75
105,강릉,2012-01-02 09:00,42.37
105,강릉,2012-01-02 10:00,37.09
105,강릉,2012-01-02 11:00,33.09
105,강릉,2012-01-02 12:00,32.02
105,강릉,2012-01-02 13:00,31.45
105,강릉,2012-01-02 14:00,34.05
105,강릉,2012-01-02 15:00,40.95
105,강릉,2012-01-02 16:00,40.96
105,강릉,2012-01-02 17:00,44.10
105,강릉,2012-01-02 18:00,49.19
105,강릉,2012-01-02 19:00,51.91
105,강릉,2012-01-02 20:00,47.93
105,강릉,2012-01-02 21:00,47.91
105,강릉,2012-01-02 22:00,46.48
105,강릉,2012-01-02 23:00,46.90
106,동해,2012-01-02 00:00,58.61
106,동해,2012-01-02 01:00,57.57
106,동해,2012-01-02 02:00,55.48
106,동해,2012-01-02 03:00,54.97
106,동해,2012-01-02 04:00,51.86
106,동해,2012-01-02 05:00,48.26
106,동해,2012-01-02 06:00,48.03
106,동해,2012-01-02 07:00,46.86
106,동해,2012-01-02 08:00,47.72
106,동해,2012-01-02 09:00,44.68
106,동해,2012-01-02 10:00,38.15
106,동해,2012-01-02 11:00,31.15
106,동해,2012-01-02 12:00,30.35
106,동해,2012-01-02 13:00,33.90
106,동해,2012-01-02 14:00,34.36
106,동해,2012-01-02 15:00,39.13
106,동해,2012-01-02 16:00,42.34
106,동해,2012-01-02 17:00,43.62
106,동해,2012-01-02 18:00,47.77
106,동해,2012-01-02 19:00,46.36
106,동해,2012-01-02 20:00,44.89
106,동해,2012-01-02 21:00,48.27
106,동해,2012-01-02 22:00,44.80
106,동해,2012-01-02 23:00,48.76
216,태백,2012-01-02 00:00,57.33
216,태백,2012-01-02 01:00,59.20
216,태백,2012-01-02 02:00,59.73
216,태백,2012-01-02 03:00,61.56
216,태백,2012-01-02 04:00,61.16
216,태백,2012-01-02 05:00,62.31
216,태백,2012-01-02 06:00,60.84
216,태백,2012-01-02 07:00,61.77
216,태백,2012-01-02 08:00,61.62
216,태백,2012-01-02 09:00,60.77
216,태백,2012-01-02 10:00,53.00
216,태백,2012-01-02 11:00,35.49
216,태백,2012-01-02 12:00,31.85
216,태백,2012-01-02 13:00,29.14
216,태백,2012-01-02 14:00,29.64
216,태백,2012-01-02 15:00,33.18
216,태백,2012-01-02 16:00,35.45
216,태백,2012-01-02 17:00,44.13
216,태백,2012-01-02 18:00,52.29
216,태백,2012-01-02 19:00,54.63
216,태백,2012-01-02 20:00,55.72
216,태백,2012-01-02 21:00,58.06
216,태백,2012-01-02 22:00,58.04
216,태백,2012-01-02 23:00,58.90
90,속초,2012-01-03 00:00,45.87
90,속초,2012-01-03 01:00,42.92
90,속초,2012-01-03 02:00,43.15
90,속초,2012-01-03 03:00,42.88
90,속초,2012-01-03 04:00,44.44
90,속초,2012-01-03 05:00,41.83
90,속초,2012-01-03 06:00,41.55
90,속초,2012-01-03 07:00,39.78
90,속초,2012-01-03 08:00,39.46
90,속초,2012-01-03 09:00,36.01
90,속초,2012-01-03 10:00,30.21
90,속초,2012-01-03 11:00,27.27
90,속초,2012-01-03 12:00,27.05
90,속초,2012-01-03 13:00,27.57
90,속초,2012-01-03 14:00,29.91
90,속초,2012-01-03 15:00,32.77
90,속초,2012-01-03 16:00,35.66
90,속초,2012-01-03 17:00,40.97
90,속초,2012-01-03 18:00,41.49
90,속초,2012-01-03 19:00,41.95
90,속초,2012-01-03 20:00,41.14
90,속초,2012-01-03 21:00,40.59
90,속초,2012-01-03 22:00,39.76
90,속초,2012-01-03 23:00,39.18
105,강릉,2012-01-03 00:00,52.23
105,강릉,2012-01-03 01:00,52.41
105,강릉,2012-01-03 02:00,49.47
105,강릉,2012-01-03 03:00,48.77
