,Unnamed: 0,tm,rnum,stnId,stnNm,ta,taQcflg,rn,rnQcflg,ws,wsQcflg,wd,wdQcflg,hm,hmQcflg,pv,td,pa,paQcflg,ps,psQcflg,ss,ssQcflg,icsr,dsnw,hr3Fhsc,dc10Tca,dc10LmcsCa,clfmAbbrCd,lcsCh,vs,gndSttCd,dmstMtphNo,ts,tsQcflg,m005Te,m01Te,m02Te,m03Te,sigun_nm,sigun_code
0,0,2011-01-01 00:00,1,90,속초,-4.6,0,,,4.4,0.0,290.0,0.0,32.0,0,1.4,-18.8,1010.8,0,1013.7,0,,9.0,,,,8.0,6.0,ScAs,10.0,2000.0,,,-4.9,0,,,,,속초,42210
1,8760,2011-01-01 00:00,1,95,철원,-17.4,0,,,0.3,0.0,0.0,0.0,85.0,0,1.3,-19.3,997.7,0,1018.5,0,,9.0,,8.8,,0.0,0.0,,,1500.0,,,-2.7,0,-1.6,-1.0,-0.7,0.0,철원,42780
2,17520,2011-01-01 00:00,1,98,동두천,-12.9,0,,,0.0,0.0,0.0,0.0,77.0,0,1.8,-16.0,1003.1,0,1018.0,0,,9.0,,13.0,,0.0,0.0,,,1200.0,,,-4.5,0,,,,,동두천,41250
3,26280,2011-01-01 00:00,1,99,파주,-15.5,0,,,0.7,0.0,110.0,0.0,85.0,0,1.6,-17.4,1013.9,0,1017.9,0,,9.0,,9.1,,0.0,0.0,,,800.0,,19.0,-2.6,0,,,,,파주,41480
4,43800,2011-01-01 00:00,1,101,춘천,-14.5,0,,,0.0,0.0,0.0,0.0,87.0,0,1.7,-16.1,1007.5,0,1017.7,0,,9.0,,9.5,,0.0,0.0,,,500.0,,19.0,-3.6,0,-2.4,-1.6,-0.4,1.7,춘천,42110
5,70080,2011-01-01 00:00,1,105,강릉,-6.7,0,,,3.6,0.0,270.0,0.0,41.0,0,1.5,-17.7,1009.9,0,1013.3,0,,9.0,,,,,,,,,,,-7.3,0,-0.3,-1.4,1.1,2.8,강릉,42150
6,78840,2011-01-01 00:00,1,106,동해,-5.8,0,,,4.6,0.0,270.0,0.0,35.0,0,1.4,-18.8,1007.6,0,1012.7,0,,9.0,,,,0.0,0.0,,,2000.0,,,-4.3,0,,,,,동해,42170
7,105117,2011-01-01 00:00,1,114,원주,-11.8,0,,,0.2,0.0,0.0,0.0,68.0,0,1.7,-16.5,997.6,0,1017.4,0,,9.0,,0.5,,0.0,0.0,,,2000.0,,,-9.2,0,,,,,원주,42130
8,122637,2011-01-01 00:00,1,119,수원,-9.4,0,,,1.2,0.0,270.0,0.0,71.0,0,2.1,-13.6,1013.2,0,1017.7,0,,9.0,,6.9,,0.0,0.0,,,2000.0,,,-6.1,0,-2.3,-1.3,0.5,1.8,수원,41110
9,131397,2011-01-01 00:00,1,121,영월,-12.7,0,,,0.8,0.0,290.0,0.0,74.0,0,1.7,-16.3,985.7,0,1017.0,0,,9.0,,1.8,,0.0,0.0,,,2000.0,,,-4.5,0,,,,,영월,42750
