,Unnamed: 0,일시,지점명,기온,강수량,풍속,풍향,습도,실효습도,label,day_name,Month,pred,proba,sigun_nm,sigun_code
0,855,2012-02-05 15:00:00,속초,6.2,0.0,2.2,140.0,32.0,20.68,1,Sunday,2,1,0.7541628856166391,속초,42210
1,22479,2012-02-05 15:00:00,철원,2.5,0.0,1.3,160.0,19.0,21.06,0,Sunday,2,1,0.6310591616166695,철원,42780
2,44103,2012-02-05 15:00:00,동두천,5.1,0.0,1.0,140.0,22.0,21.76,0,Sunday,2,1,0.7219465400221592,동두천,41250
3,65726,2012-02-05 15:00:00,파주,2.9,0.0,1.5,290.0,29.0,24.43,0,Sunday,2,1,0.6899131889016613,파주,41480
4,108972,2012-02-05 15:00:00,춘천,2.9,0.0,1.4,110.0,23.0,22.13,0,Sunday,2,1,0.6871208037833947,춘천,42110
5,173843,2012-02-05 15:00:00,강릉,6.4,0.0,1.9,70.0,23.0,16.39,0,Sunday,2,1,0.7533736835573264,강릉,42150
6,195466,2012-02-05 15:00:00,동해,5.8,0.0,3.7,20.0,26.0,16.75,0,Sunday,2,1,0.7900508017664226,동해,42170
7,260331,2012-02-05 15:00:00,원주,4.3,0.0,1.2,270.0,16.0,19.35,0,Sunday,2,1,0.6633876418201611,원주,42130
8,303579,2012-02-05 15:00:00,수원,4.2,0.0,0.4,0.0,29.0,28.49,0,Sunday,2,1,0.6784258951396005,수원,41110
9,325203,2012-02-05 15:00:00,영월,5.0,0.0,1.3,200.0,22.0,24.05,0,Sunday,2,1,0.703159860786095,영월,42750
10,346826,2012-02-05 15:00:00,충주,4.1,0.0,0.8,160.0,19.0,23.73,0,Sunday,2,1,0.6748170832814324,충주,43130
11,368450,2012-02-05 15:00:00,서산,5.3,0.0,2.4,340.0,31.0,29.27,0,Sunday,2,1,0.6836716880299396,서산,44210
12,390074,2012-02-05 15:00:00,울진,6.5,0.0,3.8,90.0,26.0,17.9,0,Sunday,2,1,0.7909537097380561,울진,47930
13,411698,2012-02-05 15:00:00,청주,3.7,0.0,1.1,20.0,21.0,28.8,0,Sunday,2,1,0.6568785543272908,청주,43110
14,476570,2012-02-05 15:00:00,안동,5.6,0.0,2.2,290.0,28.0,25.37,0,Sunday,2,1,0.7173397980035967,안동,47170
15,498194,2012-02-05 15:00:00,상주,4.7,0.0,1.3,110.0,21.0,24.48,0,Sunday,2,1,0.6704653219516761,상주,47250
16,519816,2012-02-05 15:00:00,포항,8.6,0.0,2.8,180.0,15.0,17.48,0,Sunday,2,1,0.7154378900961954,포항,47110
